	award.type	award.value	person.type	person.value	birthday.datatype	birthday.type	birthday.value	date.datatype	date.type	date.value	prizemoney.datatype	prizemoney.type	prizemoney.value	personLabel.xml:lang	personLabel.type	personLabel.value	awardLabel.xml:lang	awardLabel.type	awardLabel.value	genderLabel.xml:lang	genderLabel.type	genderLabel.value	birthplaceLabel.xml:lang	birthplaceLabel.type	birthplaceLabel.value	forWork.type	forWork.value	forWorkLabel.xml:lang	forWorkLabel.type	forWorkLabel.value	wiki.id
0	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q42247	http://www.w3.org/2001/XMLSchema#dateTime	literal	1839-03-16T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1901-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	150782	en	literal	Sully Prudhomme	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Paris						Q42247
1	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q25351	http://www.w3.org/2001/XMLSchema#dateTime	literal	1817-11-30T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1902-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	141847	en	literal	Theodor Mommsen	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Garding	uri	http://www.wikidata.org/entity/Q1500229	en	literal	History of Rome	Q25351
2	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q46405	http://www.w3.org/2001/XMLSchema#dateTime	literal	1832-12-08T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1903-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	141358	en	literal	Bjørnstjerne Bjørnson	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Kvikne						Q46405
3	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q42596	http://www.w3.org/2001/XMLSchema#dateTime	literal	1830-09-08T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1904-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	70429	en	literal	Frédéric Mistral	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Maillane						Q42596
4	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q127349	http://www.w3.org/2001/XMLSchema#dateTime	literal	1832-04-19T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1904-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	70429	en	literal	José Echegaray	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Madrid						Q127349
5	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q41502	http://www.w3.org/2001/XMLSchema#dateTime	literal	1846-05-05T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1905-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	138089	en	literal	Henryk Sienkiewicz	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Wola Okrzejska						Q41502
6	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q43440	http://www.w3.org/2001/XMLSchema#dateTime	literal	1835-07-27T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1906-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	138536	en	literal	Giosuè Carducci	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Pietrasanta						Q43440
7	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q43440	http://www.w3.org/2001/XMLSchema#dateTime	literal	1835-07-27T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1906-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	138536	en	literal	Giosuè Carducci	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Valdicastello Carducci						Q43440
8	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q34743	http://www.w3.org/2001/XMLSchema#dateTime	literal	1865-12-30T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1907-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	138796	en	literal	Rudyard Kipling	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Mumbai						Q34743
9	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q47695	http://www.w3.org/2001/XMLSchema#dateTime	literal	1846-01-05T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1908-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	139800	en	literal	Rudolf Christoph Eucken	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Aurich						Q47695
10	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q44519	http://www.w3.org/2001/XMLSchema#dateTime	literal	1858-11-20T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1909-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	139800	en	literal	Selma Lagerlöf	en	literal	Nobel Prize in Literature	en	literal	female	en	literal	Mårbacka						Q44519
11	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q44519	http://www.w3.org/2001/XMLSchema#dateTime	literal	1858-11-20T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1909-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	139800	en	literal	Selma Lagerlöf	en	literal	Nobel Prize in Literature	en	literal	female	en	literal	Sunne parish						Q44519
12	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q76487	http://www.w3.org/2001/XMLSchema#dateTime	literal	1830-03-15T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1910-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	140703	en	literal	Paul Heyse	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Berlin						Q76487
13	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q49747	http://www.w3.org/2001/XMLSchema#dateTime	literal	1862-08-29T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1911-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	140695	en	literal	Maurice Maeterlinck	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Ghent						Q49747
14	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q43523	http://www.w3.org/2001/XMLSchema#dateTime	literal	1862-11-15T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1912-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	140476	en	literal	Gerhart Hauptmann	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Szczawno-Zdrój						Q43523
15	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q7241	http://www.w3.org/2001/XMLSchema#dateTime	literal	1861-05-07T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1913-11-13T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	143010	en	literal	Rabindranath Tagore	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Kolkata	uri	http://www.wikidata.org/entity/Q7561028	en	literal	Song Offerings	Q7241
16	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q47162	http://www.w3.org/2001/XMLSchema#dateTime	literal	1866-01-29T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1915-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	149223	en	literal	Romain Rolland	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Clamecy						Q47162
17	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q129173	http://www.w3.org/2001/XMLSchema#dateTime	literal	1859-07-06T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1916-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	131793	en	literal	Verner von Heidenstam	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Olshammar						Q129173
18	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q225554	http://www.w3.org/2001/XMLSchema#dateTime	literal	1857-07-24T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1917-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	66911	en	literal	Henrik Pontoppidan	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Fredericia						Q225554
19	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q131487	http://www.w3.org/2001/XMLSchema#dateTime	literal	1857-06-02T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1917-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	66911	en	literal	Karl Adolph Gjellerup	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Roholte						Q131487
20	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q226525	http://www.w3.org/2001/XMLSchema#dateTime	literal	1845-04-24T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1919-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	133127	en	literal	Carl Spitteler	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Liestal						Q226525
21	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q40826	http://www.w3.org/2001/XMLSchema#dateTime	literal	1859-08-04T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1920-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	134100	en	literal	Knut Hamsun	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Vågå						Q40826
22	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q40826	http://www.w3.org/2001/XMLSchema#dateTime	literal	1859-08-04T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1920-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	134100	en	literal	Knut Hamsun	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Lom						Q40826
23	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q42443	http://www.w3.org/2001/XMLSchema#dateTime	literal	1844-04-16T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1921-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	121573	en	literal	Anatole France	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Paris						Q42443
24	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q83184	http://www.w3.org/2001/XMLSchema#dateTime	literal	1866-08-12T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1922-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	122483	en	literal	Jacinto Benavente	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Madrid						Q83184
25	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q40213	http://www.w3.org/2001/XMLSchema#dateTime	literal	1865-06-13T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1923-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	114935	en	literal	William Butler Yeats	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Sandymount						Q40213
26	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q121180	http://www.w3.org/2001/XMLSchema#dateTime	literal	1867-05-07T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1924-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	116719	en	literal	Władysław Reymont	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Kobiele Wielkie	uri	http://www.wikidata.org/entity/Q2896338	en	literal	The Peasants	Q121180
27	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q19185	http://www.w3.org/2001/XMLSchema#dateTime	literal	1856-07-26T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1925-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	118165	en	literal	George Bernard Shaw	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Dublin						Q19185
28	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q7728	http://www.w3.org/2001/XMLSchema#dateTime	literal	1871-09-27T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1926-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	116960	en	literal	Grazia Deledda	en	literal	Nobel Prize in Literature	en	literal	female	en	literal	Nuoro						Q7728
29	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q42156	http://www.w3.org/2001/XMLSchema#dateTime	literal	1859-10-18T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1927-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	126501	en	literal	Henri Bergson	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Paris						Q42156
30	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q80889	http://www.w3.org/2001/XMLSchema#dateTime	literal	1882-05-20T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1928-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	156939	en	literal	Sigrid Undset	en	literal	Nobel Prize in Literature	en	literal	female	en	literal	Kalundborg						Q80889
31	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q37030	http://www.w3.org/2001/XMLSchema#dateTime	literal	1875-06-06T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1929-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	172760	en	literal	Thomas Mann	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Lübeck	uri	http://www.wikidata.org/entity/Q326909	en	literal	Buddenbrooks	Q37030
32	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q123469	http://www.w3.org/2001/XMLSchema#dateTime	literal	1885-02-07T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1930-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	172947	en	literal	Sinclair Lewis	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Sauk Centre						Q123469
33	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q134641	http://www.w3.org/2001/XMLSchema#dateTime	literal	1864-07-20T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1931-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	173206	en	literal	Erik Axel Karlfeldt	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Folkärna						Q134641
34	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q82248	http://www.w3.org/2001/XMLSchema#dateTime	literal	1867-08-14T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1932-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	171753	en	literal	John Galsworthy	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Kingston upon Thames						Q82248
35	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q46602	http://www.w3.org/2001/XMLSchema#dateTime	literal	1870-10-22T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1933-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	170332	en	literal	Ivan Bunin	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Voronezh						Q46602
36	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q1403	http://www.w3.org/2001/XMLSchema#dateTime	literal	1867-06-28T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1934-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	162608	en	literal	Luigi Pirandello	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Agrigento						Q1403
37	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q93157	http://www.w3.org/2001/XMLSchema#dateTime	literal	1888-10-16T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1936-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	159850	en	literal	Eugene O'Neill	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	New York City						Q93157
38	uri	http://www.wikidata.org/entity/Q37922	uri	http://www.wikidata.org/entity/Q129155	http://www.w3.org/2001/XMLSchema#dateTime	literal	1881-03-23T00:00:00Z	http://www.w3.org/2001/XMLSchema#dateTime	literal	1937-01-01T00:00:00Z	http://www.w3.org/2001/XMLSchema#decimal	literal	158463	en	literal	Roger Martin du Gard	en	literal	Nobel Prize in Literature	en	literal	male	en	literal	Neuilly-sur-Seine						Q129155
